#,Category,Qlik Sense Formula,Qlik Example,ThoughtSpot Equivalent,ThoughtSpot Example,Comments / Context,status
S25,String,"WildMatch(str, '*substr*')","WildMatch(Name, '*Pro*')","contains(col, substr)","contains(product_name, 'Pro')",ThoughtSpot has dedicated contains(). Qlik uses WildMatch with * on both sides for substring checking.,ok
S26,String,Evaluate(expr_string),Evaluate('1+1'),No direct equivalent,No equivalent — ThoughtSpot does not evaluate string expressions dynamically,Qlik Evaluate() parses and executes a string as an expression at runtime. ThoughtSpot has no dynamic expression evaluation.,ok
S27,String,"Num(expr, format) [display]","Num(Revenue, '#,##0.00')",to_string(col),to_string(revenue),Qlik Num() formats a number as a display string. ThoughtSpot to_string() converts to string — control display formatting in visualization settings.,ok
N01,Numeric / Math,Abs(x),Abs(Profit),abs(col),abs(profit),Direct equivalent. Returns the absolute (non-negative) value.,ok
N02,Numeric / Math,"Round(x, n)","Round(Revenue, 0.01)","round(col, n)","round(revenue, 2)",Qlik second arg is rounding interval (0.01 = 2 decimals). ThoughtSpot uses the number of decimal places directly.,ok
N03,Numeric / Math,Floor(x),Floor(Score),floor(col),floor(score),Direct equivalent. Rounds down to the nearest integer.,ok
N04,Numeric / Math,Ceil(x),Ceil(Score),ceil(col),ceil(score),Direct equivalent. Rounds up to the nearest integer.,ok
N05,Numeric / Math,"Pow(base, exp)","Pow(Rate, 2)","pow(base, exp)","pow(rate, 2)",Direct equivalent. Raises base to the power of exponent.,ok
N06,Numeric / Math,Sqrt(x),Sqrt(Variance),sqrt(col),sqrt(variance),Direct equivalent. Returns the square root.,ok
N07,Numeric / Math,Log(x),Log(Revenue),ln(col),ln(revenue),Qlik Log() is natural log (base e). ThoughtSpot names it ln(). ThoughtSpot also has log10() for base-10.,ok
N08,Numeric / Math,Log10(x),Log10(Revenue),log10(col),log10(revenue),Direct equivalent. Both return the base-10 logarithm.,ok
N09,Numeric / Math,Exp(x),Exp(1),No direct equivalent,"Use pow(2.71828, x) as approximation","Qlik Exp() returns e raised to the power of x. ThoughtSpot has no Exp() — approximate with pow(2.71828, x).",verify
N10,Numeric / Math,"Mod(x, y)","Mod(RowNo(), 2)","mod(col, divisor)","mod(row_number, 2)",Direct equivalent. Returns remainder after division — useful for alternating row logic.,ok
N11,Numeric / Math,"Div(x, y)","Div(10, 3)",floor(col / divisor),floor(10 / 3),Qlik Div() returns integer quotient. ThoughtSpot uses floor(x/y) to replicate integer division.,ok
N12,Numeric / Math,Frac(x),Frac(3.75),col - floor(col),revenue - floor(revenue),Qlik Frac() returns fractional part (3.75 → 0.75). ThoughtSpot workaround: subtract floor() from the value.,ok
N13,Numeric / Math,Sign(x),Sign(Profit),if col > 0 then 1 else if col < 0 then -1 else 0,if profit > 0 then 1 else if profit < 0 then -1 else 0,"Qlik Sign() returns -1, 0, or 1. ThoughtSpot has no Sign() — replicate with if/then/else.",ok
N14,Numeric / Math,Odd(x),Odd(5),"mod(col, 2) != 0","mod(value, 2) != 0","Qlik Odd() returns true if integer is odd. ThoughtSpot replicates with mod(x,2) != 0.",ok
N15,Numeric / Math,Even(x),Even(4),"mod(col, 2) = 0","mod(value, 2) = 0","Qlik Even() returns true if integer is even. ThoughtSpot replicates with mod(x,2) = 0.",ok
N16,Numeric / Math,"RangeSum(v1, v2, ...)","RangeSum(Q1, Q2, Q3, Q4)",col1 + col2 + col3 + col4,q1 + q2 + q3 + q4,"Qlik RangeSum() sums arguments (NULLs treated as 0). ThoughtSpot uses direct arithmetic — wrap with ifnull(col,0) to handle NULLs.",ok
N17,Numeric / Math,"RangeMax(v1, v2, ...)","RangeMax(Q1, Q2, Q3, Q4)",if Q1>=Q2 and Q1>=Q3 ... then Q1 ...,No direct equivalent — use nested if or ETL,Qlik RangeMax() finds max across a list of arguments (row-level). ThoughtSpot max() is an aggregate — use nested if/then/else for row-level multi-column max.,ok
N18,Numeric / Math,"RangeMin(v1, v2, ...)","RangeMin(Q1, Q2, Q3)",if Q1<=Q2 and Q1<=Q3 then Q1 ...,No direct equivalent — use nested if or ETL,Qlik RangeMin() finds min across a list of arguments (row-level). ThoughtSpot min() is an aggregate — use if/then/else for row-level minimum.,ok
N19,Numeric / Math,"RangeAvg(v1, v2, ...)","RangeAvg(Q1, Q2, Q3, Q4)",(col1 + col2 + col3 + col4) / 4,(q1 + q2 + q3 + q4) / 4,"Qlik RangeAvg() averages a list. ThoughtSpot: sum divided by count — wrap each with ifnull(col,0).",ok
N20,Numeric / Math,"Combination(n, k)","Combination(10, 3)",No direct equivalent,Handle combinatorial math in ETL or SQL layer,Qlik computes combinations (n choose k). ThoughtSpot has no combinatorial math functions.,ok
N21,Numeric / Math,"Permutation(n, k)","Permutation(10, 3)",No direct equivalent,Handle in ETL or SQL layer,Qlik computes permutations. ThoughtSpot has no permutation function.,ok
N22,Numeric / Math,Fabs(x),Fabs(Diff),abs(col),abs(diff),Qlik Fabs() is float absolute value. ThoughtSpot abs() works on both integers and floats — direct equivalent.,ok
ST01,Statistical,"Fractile(expr, fraction)","Fractile(Revenue, 0.9)",No direct equivalent,No built-in percentile formula in ThoughtSpot,Qlik Fractile() returns a percentile (0.9 = 90th percentile). ThoughtSpot has no built-in percentile in formula context — use SQL passthrough or ETL.,ok
ST02,Statistical,"Correl(x, y)","Correl(Price, Sales)",No direct equivalent,No built-in correlation function in ThoughtSpot,Qlik Correl() returns the Pearson correlation coefficient. ThoughtSpot has no built-in correlation in formulas.,ok
ST03,Statistical,Kurtosis(expr),Kurtosis(Revenue),No direct equivalent,Handle in SQL/ETL layer,Qlik returns statistical kurtosis. ThoughtSpot has no kurtosis function in formula context.,ok
ST04,Statistical,Skew(expr),Skew(Revenue),No direct equivalent,Handle in SQL/ETL layer,Qlik returns statistical skewness. ThoughtSpot has no skewness formula function.,ok
ST05,Statistical,"NormDist(x, mean, stdev, cumulative)","NormDist(1.5, 0, 1, true())",No direct equivalent,Handle in SQL layer via passthrough,Qlik calculates normal distribution CDF/PDF. ThoughtSpot has no statistical distribution functions in formulas.,ok
ST06,Statistical,"NormInv(p, mean, stdev)","NormInv(0.95, 0, 1)",No direct equivalent,Handle in SQL layer,Qlik returns the inverse normal distribution. ThoughtSpot has no equivalent.,ok
ST07,Statistical,"ChiDist(x, df)","ChiDist(3.84, 1)",No direct equivalent,Handle in SQL/ETL layer,Qlik chi-square distribution function. ThoughtSpot has no statistical distribution functions.,ok
ST08,Statistical,"TDist(x, df, tails)","TDist(1.96, 30, 2)",No direct equivalent,Handle in SQL layer,Qlik Student's t-distribution function. ThoughtSpot has no equivalent.,ok
ST09,Statistical,"FDist(x, df1, df2)","FDist(2.5, 3, 10)",No direct equivalent,Handle in SQL layer,Qlik F-distribution function. ThoughtSpot has no statistical distribution functions.,ok
ST10,Statistical,Rank(expr),Rank(Sum(Revenue)),rank(col),rank(sum(revenue)),Both rank current value relative to peers in the chart. Minor syntax difference — functionally equivalent.,ok
ST11,Statistical,HRank(expr),HRank(Sum(Sales)),No direct equivalent,No direct equivalent in ThoughtSpot,Qlik HRank() ranks values horizontally in pivot tables. ThoughtSpot has no horizontal rank concept.,ok
TC01,Type Conversion,"Num#(str, format)","Num#('1,234.56', '#,##0.00')",to_double(col),to_double(price_string),Qlik Num#() parses a formatted string into a number. ThoughtSpot uses to_double() or to_integer() to cast string to numeric.,ok
TC02,Type Conversion,Text(expr),Text(OrderDate),to_string(col),to_string(order_date),Both convert a value to its string representation. Useful for concatenation with date or numeric fields.,ok
TC03,Type Conversion,"Date(expr, format)","Date(OrderDate, 'YYYY-MM-DD')","to_date(col, format)","to_date(date_string, '%Y-%m-%d')",Both convert/format values as dates. Format strings differ: Qlik 'YYYY-MM-DD' vs ThoughtSpot strftime '%Y-%m-%d'.,ok
TC04,Type Conversion,"Date#(str, format)","Date#('20240115', 'YYYYMMDD')","to_date(col, format)","to_date(date_str, '%Y%m%d')",Qlik Date#() interprets a string as a date. ThoughtSpot uses to_date() for the same purpose.,ok
TC05,Type Conversion,Int(x),Int(3.7),to_integer(col),to_integer(3.7),Qlik Int() truncates to integer. ThoughtSpot to_integer() converts to integer type — behavior may differ for negative numbers.,ok
TC06,Type Conversion,"Money(expr, format)","Money(Revenue, '$#,##0')",to_string(col),to_string(revenue),Qlik Money() formats as currency string. ThoughtSpot has no currency formatter — use to_string() and control display in visualization settings.,ok
TC07,Type Conversion,Bool(x),Bool(IsActive),to_bool(col),to_bool(is_active),Both convert a value to boolean. Qlik Bool() and ThoughtSpot to_bool() are functionally equivalent.,ok
TC08,Type Conversion,"Dual(str, num)","Dual('Low', 1)",No direct equivalent,Store both text and number as separate columns,Qlik Dual() creates a value with both text and numeric representations. ThoughtSpot has no dual-type concept — store as separate columns.,ok
TC09,Type Conversion,"Num(expr, format) [to_double path]","Num(Revenue, '#,##0.00')",to_double(col),to_double(revenue_string),Qlik Num() formats a number as display string. ThoughtSpot to_double() converts string to numeric for calculations — different primary purpose.,ok
CO01,Color (Qlik-specific),"RGB(r, g, b)","RGB(255, 0, 0)",No equivalent,"Set color via chart visualization properties, not formulas",Qlik RGB() returns a color value for conditional coloring in charts. ThoughtSpot does not expose color functions in formula context — colors are set via chart config.,ok
CO02,Color (Qlik-specific),"ARGB(a, r, g, b)","ARGB(128, 255, 0, 0)",No equivalent,Handle in chart styling/theming settings,Qlik ARGB() creates a color with transparency (alpha channel). No ThoughtSpot formula equivalent.,ok
CO03,Color (Qlik-specific),"HSL(h, s, l)","HSL(0, 1, 0.5)",No equivalent,Handle in chart styling/theming settings,Qlik HSL() creates a color from hue/saturation/lightness. No ThoughtSpot formula equivalent.,ok
CO04,Color (Qlik-specific),"ColorMix1(weight, col1, col2)","ColorMix1(Revenue/MaxRev, RGB(255,0,0), RGB(0,255,0))",No equivalent,Use conditional formatting in ThoughtSpot visualization settings,Qlik blends two colors based on a weight (0-1). ThoughtSpot achieves conditional coloring through visualization-level settings only.,ok
CO05,Color (Qlik-specific),"ColorMix2(weight, col1, col2, col3)","ColorMix2(0.5, RGB(255,0,0), RGB(0,255,0), RGB(0,0,255))",No equivalent,Use conditional formatting in ThoughtSpot visualization settings,Qlik blends three colors. No ThoughtSpot formula equivalent.,ok
CO06,Color (Qlik-specific),Red(color),"Red(RGB(200, 100, 50))",No equivalent,No equivalent in ThoughtSpot,Qlik extracts the red component of a color value. No ThoughtSpot equivalent.,ok
CO07,Color (Qlik-specific),Green(color),"Green(RGB(200, 100, 50))",No equivalent,No equivalent in ThoughtSpot,Qlik extracts the green component of a color value. No ThoughtSpot equivalent.,ok
CO08,Color (Qlik-specific),Blue(color),"Blue(RGB(200, 100, 50))",No equivalent,No equivalent in ThoughtSpot,Qlik extracts the blue component of a color value. No ThoughtSpot equivalent.,ok
FI01,Financial (Qlik-specific),"BlackAndScholes(s, x, r, t, sigma, type)","BlackAndScholes(100, 105, 0.05, 0.5, 0.2, 'c')",No equivalent,Implement in SQL passthrough or ETL layer,Qlik provides a built-in Black-Scholes option pricing formula. ThoughtSpot has no financial modeling functions — use sql_float() passthrough or pre-compute in ETL.,ok
FI02,Financial (Qlik-specific),"FV(rate, nper, pmt, pv, type)","FV(0.05/12, 60, -200, 0, 0)",No equivalent,Pre-compute in ETL or use SQL passthrough,Qlik FV() calculates Future Value of an investment. ThoughtSpot has no financial calculation functions in formulas.,ok
FI03,Financial (Qlik-specific),"PV(rate, nper, pmt, fv, type)","PV(0.05/12, 60, -200, 0, 0)",No equivalent,Pre-compute in ETL or use SQL passthrough,Qlik PV() calculates Present Value. ThoughtSpot has no financial functions in formula context.,ok
FI04,Financial (Qlik-specific),"NPV(discount, val1, val2, ...)","NPV(0.1, CF1, CF2, CF3)",No equivalent,Pre-compute in ETL or use SQL passthrough,Qlik NPV() calculates Net Present Value. ThoughtSpot has no NPV function — pre-compute or use passthrough SQL.,ok
FI05,Financial (Qlik-specific),IRR(values),"IRR(-100, 30, 40, 50, 30)",No equivalent,Pre-compute in ETL,Qlik IRR() calculates Internal Rate of Return. ThoughtSpot has no financial functions.,ok
FI06,Financial (Qlik-specific),"Rate(nper, pmt, pv, fv, type, guess)","Rate(60, -200, 10000, 0, 0, 0.05)",No equivalent,Pre-compute in ETL,Qlik Rate() calculates the interest rate per period. ThoughtSpot has no financial formula functions.,ok
PT01,Passthrough SQL (ThoughtSpot-specific),No equivalent (Qlik uses native script),Use Qlik's native script or connector expressions,sql_string_op('expression'),"sql_string_op('REGEXP_REPLACE(product_name, ""[^a-zA-Z]"", """")')",ThoughtSpot sql_string() passes raw SQL to the underlying database and returns a string. Qlik handles this via data load script. Use when ThoughtSpot native functions are insufficient.,corrected
PT02,Passthrough SQL (ThoughtSpot-specific),No equivalent,Use Qlik script for numeric SQL expressions,sql_int_op('expression'),"sql_int_op('DATEDIFF(day, order_date, ship_date)')",ThoughtSpot sql_int() passes a SQL expression to the database and returns an integer. Useful for database-specific functions not available natively.,corrected
PT03,Passthrough SQL (ThoughtSpot-specific),No equivalent,Use Qlik script for float SQL expressions,sql_double_op('expression'),sql_double_op('PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY revenue)'),ThoughtSpot sql_float() passes a SQL expression returning a float. Useful for percentiles and complex math not available in native ThoughtSpot formulas.,corrected
PT04,Passthrough SQL (ThoughtSpot-specific),No equivalent,Use Qlik script for date SQL expressions,sql_date_op('expression'),"sql_date_op('DATE_TRUNC(\'month\', order_date)')",ThoughtSpot sql_date() passes a SQL expression returning a date. Use when ThoughtSpot date functions do not cover a specific database function.,corrected
PT05,Passthrough SQL (ThoughtSpot-specific),No equivalent,Use Qlik script for boolean SQL expressions,sql_bool_op('expression'),sql_bool_op('order_amount > 1000 AND region = \'West\''),ThoughtSpot sql_bool() passes a SQL expression returning a boolean. Use for complex conditions not expressible in native ThoughtSpot formula syntax.,corrected
TS01,ThoughtSpot-Specific,No equivalent,Closest: Qlik {$} set identifier (current selection),query_groups(),"group_aggregate(sum(revenue), query_groups(), query_filters())",ThoughtSpot-only. query_groups() inherits the current search's dimension groupings dynamically inside group_aggregate(). Adapts as users change their search.,ok
TS02,ThoughtSpot-Specific,No equivalent,Closest: Qlik {$} set identifier,query_filters(),"group_aggregate(sum(revenue), query_groups(), query_filters())",ThoughtSpot-only. query_filters() inherits the current search's applied filters inside group_aggregate(). No Qlik formula equivalent.,ok
TS03,ThoughtSpot-Specific,No equivalent,Closest: Qlik {$<...>} set expression override,query_groups() + {attr},"group_aggregate(sum(revenue), query_groups() + {region}, query_filters())",ThoughtSpot-only. Extends current search groupings by adding an extra dimension to scope. No direct Qlik equivalent.,ok
TS04,ThoughtSpot-Specific,No equivalent,Closest: Qlik set expression with exclusion,query_groups() - {attr},"group_aggregate(sum(revenue), query_groups() - {date}, query_filters())",ThoughtSpot-only. Removes a specific dimension from inherited search groupings inside group_aggregate(). Allows finer control of aggregation scope.,ok
