Category,Property,Description,Agentic / Semantic Layer Importance,Human Importance,Agentic Importance,Snowflake SV Equivalent,Snowflake Notes / Pros & Cons,Databricks UC Equivalent,Databricks Notes / Pros & Cons,dbt MetricFlow Equivalent,Cube.dev Equivalent,Other Platform Notes
Snowflake-Only,"Snowflake: filters[] (table-level)","Named reusable filter predicates defined on a table within the semantic view (YAML-only; no DDL equivalent).","Reusable named WHERE conditions that Cortex Analyst can apply to restrict specific table data; more modular than embedding filters in SQL expressions.","Low — internal; transparent to users","High — named filters can be referenced in verified queries and AI instructions; helps agent scope queries correctly","Native (filters[] in YAML table entry)","Pro: Reusable named predicates — define once, reference in multiple contexts. Con: No DDL equivalent; YAML-only.","Not supported","Con: UC's top-level filter: is a single global predicate; no named reusable filters.","metrics[].filter (per-metric Jinja filter — closest equivalent)","cube.segments[] — reusable named filter predicates; a stronger equivalent","No direct equivalent in ThoughtSpot"
Snowflake-Only,"Snowflake: is_enum (dimension)","Boolean flag on a dimension telling Cortex Analyst that sample_values[] is the exhaustive set of possible values.","Enables Cortex Analyst to generate accurate IN-filter SQL using the known value set; prevents agents from guessing invalid dimension values.","Low — internal hint; users see the effect in accurate filter dropdowns","High — without is_enum agents may apply invalid filter values causing empty result sets or query errors","Native (is_enum: true on dimensions)","Pro: Tells Cortex Analyst to treat sample_values as authoritative — dramatically improves literal filter accuracy.","Not supported","Con: No equivalent in UC MV. Genie must infer valid values from data at query time.","Not applicable","Not applicable","Power BI: values-based Q&A synonyms provide similar grounding"
Snowflake-Only,"Snowflake: sample_values[]","Array of representative dimension values shown to Cortex Analyst for grounding natural-language filter resolution.","Provides Cortex Analyst with known valid filter values; prevents agents from hallucinating non-existent dimension values in WHERE clauses.","High — sample values can surface as suggested filter options in the UI","High — grounding agents with known valid values is one of the most effective ways to prevent hallucinated filter values","Native (sample_values[] on dimensions / time_dimensions)","Pro: Directly consumed by Cortex Analyst to resolve literal filters. Pro: Combine with is_enum for exhaustive value sets. Con: Must be manually maintained as data evolves.","Not supported","Con: Genie must query live data at runtime to resolve filter values; no static sample value grounding.","Not applicable — dbt handles this via data contracts and tests","Not applicable — Cube AI value search provides dynamic value resolution","Lightdash: no static sample values; Atlan: sampleDataUrl provides sample data but not queryable filter values"
Snowflake-Only,"Snowflake: non_additive_dimensions / NON ADDITIVE BY","Declares that a metric is semi-additive and specifies the dimension across which it cannot be summed (e.g. account_balance at end of period).","Ensures Cortex Analyst generates LAST_VALUE or FIRST_VALUE patterns instead of SUM for snapshot metrics; prevents silent double-counting errors.","Low — internal semantic hint; transparent to users","High — semi-additive metrics (balances, headcount, inventory) are the most common source of silently wrong agent query results","Native (non_additive_dimensions[] on metrics — YAML; NON ADDITIVE BY clause in DDL)","Pro: First-class semi-additive declaration with sort direction and null order control. Pro: Cortex Analyst natively generates correct window SQL.","window[].semiadditive: first | last (Experimental v1.1)","Pro: Native semi-additive config in UC MV with first/last control. Pro: Cleaner than ThoughtSpot's is_additive flag.","measure.non_additive_dimension.window_choice: min | max","Not natively supported","AtScale SML: semi-additive as first-class measure subtype; Power BI: LASTDATE / FIRSTDATE DAX patterns"
Snowflake-Only,"Snowflake: AI_SQL_GENERATION","Free-text instructions injected into the Cortex Analyst SQL generation prompt (e.g. 'always round revenue to 2 decimal places' / 'prefer INNER JOIN for order facts').","View-level AI instruction that shapes how Cortex Analyst generates SQL; more powerful than description because it directly modifies the LLM's generation behavior.","Low — internal AI directive; never shown to users","High — closest Snowflake equivalent to ThoughtSpot's ai_context at the view level; directly modifies agent SQL generation behavior","Native (AI_SQL_GENERATION clause in CREATE SEMANTIC VIEW DDL)","Pro: Direct prompt injection into Cortex Analyst generation context. Con: No YAML equivalent; DDL-only. Con: Free-text — no structured schema for hints.","Not supported","Con: No equivalent view-level AI instruction in UC MV YAML. Descriptions and comments are passive context only.","Not applicable","Not applicable","No equivalent in ThoughtSpot or Databricks; unique to Snowflake Cortex Analyst"
Snowflake-Only,"Snowflake: AI_QUESTION_CATEGORIZATION","Free-text instructions controlling when Cortex Analyst should reject a question or request clarification.","Enables semantic guardrails — instructs the agent to decline out-of-scope questions or ask follow-up questions before generating SQL.","Low — internal AI directive; users see the effect as refusal or clarification prompts","High — prevents agents from attempting to answer questions outside the model's semantic scope; reduces hallucination risk on edge-case queries","Native (AI_QUESTION_CATEGORIZATION clause in CREATE SEMANTIC VIEW DDL)","Pro: Declarative rejection/clarification behavior embedded in the semantic model itself. Con: DDL-only; no YAML equivalent.","Not supported","Con: No equivalent in UC MV. Genie's question-handling behavior is controlled by workspace settings not the metric view definition.","Not applicable","Not applicable","No equivalent in any other platform; unique Snowflake capability"
Snowflake-Only,"Snowflake: AI_VERIFIED_QUERIES","Example question-and-SQL pairs stamped with verified_at timestamp and verified_by contact; onboarding questions surface as suggested prompts.","Pre-validated Q&A pairs that directly ground Cortex Analyst's SQL generation; the most powerful way to improve agent accuracy on known common questions.","High — ONBOARDING_QUESTION examples surface as suggested prompts in the Cortex Analyst UI; directly guides human exploration","High — verified queries serve as few-shot examples that significantly improve agent SQL accuracy on similar questions","Native (AI_VERIFIED_QUERIES in DDL; verified_queries[] in YAML — with name / question / sql / verified_at / verified_by / use_as_onboarding_question)","Pro: Verified examples directly influence Cortex Analyst generation. Pro: Onboarding questions surface as clickable prompts. Pro: Dec 2025 optimization auto-enriches the model from accumulated verified queries.","Not supported","Con: No verified query concept in UC MV. Genie learns from user feedback separately but this is not embedded in the metric view definition.","saved_queries[] — pre-defined queries that can be materialized; closest dbt equivalent","Not natively supported","Lightdash: self-improving semantic layer updates descriptions from query feedback — closest conceptual equivalent"
Snowflake-Only,"Snowflake: access_modifier (private on facts/metrics)","Marks a fact or metric as private — excluded from user-facing SQL generation by Cortex Analyst but usable in derived metric expressions.","Enables intermediate calculation columns that agents can use as building blocks for derived metrics without exposing them to direct user queries.","Low — private fields are invisible to users by design","Medium — allows layered metric construction without polluting the query interface","Native (PRIVATE | PUBLIC modifier on facts and metrics in DDL; access_modifier in YAML)","Pro: Clean separation between internal building blocks and user-facing metrics. Con: No equivalent in other platforms.","Not supported","Con: All measures in UC MV are queryable. Intermediate measures must be implemented differently (e.g. via MEASURE() composition).","measures created with create_metric: false (measure exists but no public metric is auto-generated)","cube.measures[].public: false — hides measure from API consumers","No direct equivalent in ThoughtSpot"
Snowflake-Only,"Snowflake: cortex_search_service (on dimensions)","Pointer to a Snowflake Cortex Search Service enabling fuzzy/semantic literal search on dimension values at query time.","Enables Cortex Analyst to resolve fuzzy dimension values (e.g. 'appl' → 'Apple Inc.') using vector search rather than exact string matching.","Medium — improves filter accuracy for users who type partial or approximate dimension values","High — fuzzy value resolution is critical for agents handling natural-language filter requests; prevents empty results from minor spelling variations","Native (WITH CORTEX SEARCH SERVICE clause on dimensions — DDL and YAML)","Pro: Direct integration with Snowflake's vector search for dimension value resolution. Pro: No external vector store needed.","Not supported","Con: Genie resolves filter values by scanning data at query time; no semantic search integration on dimension values.","Not applicable — dbt handles via data contracts","cube.meta.ai.searchable: true — flags dimension for value-level search in Cube AI","No direct ThoughtSpot equivalent; ThoughtSpot uses index_type for search optimization"
Snowflake-Only,"Snowflake: derived metrics (view-level)","Cross-table metrics defined at the semantic view level (not on a specific table) — enable ratio and formula metrics that span multiple tables.","Enables governed cross-table metric compositions (e.g. revenue / customers) that agents can query without writing raw multi-table SQL.","Low — internal metric definition; users see the resulting metric","High — cross-table derived metrics are essential for ratio KPIs that agents need to compute correctly","Native (METRICS clause at view level in DDL; September 2025 addition)","Pro: First-class cross-table metrics in the semantic model. Con: No equivalent in the older YAML spec.","measures[].expr using MEASURE() references spans across all joined tables","Pro: MEASURE() composition naturally spans all join-connected tables; no separate view-level concept needed.","metric type: derived — formula over other metrics spanning semantic models","cube.measures[].type: number — computed expression referencing other measures","ThoughtSpot: formula columns that reference columns from multiple tables achieve similar results"
Databricks-Only,"Databricks: FILTER (WHERE ...) on measures","Inline conditional aggregate applying a WHERE clause to only a specific measure (e.g. SUM(revenue) FILTER (WHERE status = 'complete')).","Enables governed conditional metrics without separate tables or views; agents can request conditional metrics clearly from the YAML definition.","Low — internal SQL expression; users see the resulting conditional metric","High — cleaner and more transparent than CASE WHEN; agents can read the filter condition from the YAML to understand what the metric represents","Not supported directly","Con: Snowflake SV requires CASE WHEN inside the metrics[].expr. Less readable and harder for agents to interpret semantically.","Native (measures[].expr FILTER (WHERE ...) in UC MV)","Pro: SQL standard syntax. Pro: Multiple filtered variants of the same base metric can coexist. Pro: Agents can discover filter conditions directly from the YAML.","metrics[].filter using Jinja syntax (per-metric filter applied via WHERE)","cube.measures[].filters[] — inline filter predicates on a measure","LookML: measure filters[]; ThoughtSpot achieves this via if/then/else formulas"
Databricks-Only,"Databricks: MEASURE() composition","References a named measure from within another measure's expr (e.g. MEASURE(revenue) / NULLIF(MEASURE(orders), 0)).","Enables governed metric composition — agents can build ratio metrics on top of atomic measures without replicating aggregation logic; creates a discoverable metric dependency graph.","Low — internal SQL pattern; users see the resulting derived metric","High — agents can introspect the dependency graph between measures from the YAML; promotes reuse over duplication","Not supported directly","Con: Snowflake SV requires duplicating the SQL in a derived metrics[] expr; no cross-metric reference syntax.","Native (MEASURE() in measures[].expr — UC MV)","Pro: Promotes reuse — base metrics defined once; derived metrics reference them symbolically. Con: MEASURE() references must point to measures in the same metric view.","metric type: derived with input_metrics[] — closest dbt equivalent","cube.measures[].type: number referencing other cube measures","AtScale SML: calculated members that reference other measures; ThoughtSpot: formula columns referencing other formula columns"
Databricks-Only,"Databricks: window[] on measures","Declarative time-series and semi-additive measure config: range (cumulative / trailing N / current), order (time dimension), semiadditive (first / last) — Experimental v1.1.","Native window measure semantics allow agents to request 'cumulative revenue' or 'end-of-month balance' without knowing the underlying window SQL; more readable than embedded OVER() clauses.","Low — internal config; users see the resulting cumulative or snapshot metric","High — declarative window config is more transparent to agents than raw OVER() SQL; semiadditive: last communicates snapshot semantics that agents need to aggregate correctly","NON ADDITIVE BY (semiadditive DDL) or window SQL in metrics[].expr","Con: Snowflake SV requires OVER (PARTITION BY ... ORDER BY ...) SQL written directly in expr — less readable and harder for agents to interpret.","Native (measures[].window[] config block — Experimental v1.1)","Pro: Declarative — agents and tools can read semiadditive: last and understand snapshot semantics without parsing SQL. Pro: Separate first/last options are more expressive than ThoughtSpot's is_additive flag.","metric type: cumulative (window + grain_to_date); measure.non_additive_dimension for semi-additive","cube.measures[].rolling_window[] — declarative rolling window config","ThoughtSpot: moving_average / cumulative_sum formulas; LookML: rolling_window measure type"
Databricks-Only,"Databricks: materialization: (Experimental)","Query acceleration configuration: schedule, mode: relaxed, and materialized_views[] with aggregated or unaggregated types — embedded in the metric view definition.","Transparent query caching for agents; pre-materialized views enable sub-second responses on expensive metrics without agents being aware of the optimization.","Low — internal infrastructure optimization; transparent to users","Low — agents benefit from faster responses but do not interact with materialization config directly","Not supported directly in SV YAML","Con: Snowflake provides materialized views and dynamic tables as separate objects external to the semantic view definition.","Native (materialization: at top level — Experimental v1.1)","Pro: Acceleration policy embedded in the semantic layer definition — single place to manage both semantics and performance.","saved_queries[].exports[] — materialize metric output to a warehouse table","cube.pre_aggregations[] — declarative rollup scheduling in the data model","ThoughtSpot: aggregated_models for pre-aggregated routing; LookML: PDTs (Persistent Derived Tables)"
Databricks-Only,"Databricks: display_name on dimensions and measures","A separate human-readable label distinct from the machine-identifier name field — allows both clean SQL identifiers and readable UI labels simultaneously.","Solves the tension between SQL-valid identifiers (snake_case) and user-friendly labels; agents can use display_name for UI output while using name for SQL generation.","High — human-readable display names in Genie and AI/BI Dashboards without sacrificing identifier clarity","Medium — agents can use display_name in responses and name in SQL generation; reduces ambiguity when name and label differ significantly","Not supported — name serves as both identifier and label","Con: All name fields must satisfy Snowflake identifier rules and serve as both SQL identifier and display label; forces a compromise.","Native (display_name: on dimensions and measures — v1.1)","Pro: Clean separation between machine name and human label. Con: More fields to maintain per column.","dimension.label + measure.label — display name always separate from identifier","cube.measures[].title + cube.dimensions[].title — same pattern","LookML: label on all fields; Power BI: displayName; Cube: title — all three separate identifier from label better than Snowflake SV"
Databricks-Only,"Databricks: joins[].using","Array of shared column names used as the join condition (alternative to on: SQL expression) — e.g. using: [customer_id].","Simpler join syntax when both tables share identically-named key columns; reduces join definition verbosity for natural key joins.","Low — internal plumbing; transparent to users","Low — minimal impact on agent behavior; agents interact with join results not join syntax","Not supported (relationships always use left_column / right_column pair)","Con: Snowflake SV always requires explicit column naming in relationship_columns.","Native (using: on joins — alternative to on:)","Pro: More concise for natural key joins. Con: Columns must have identical names on both sides; not applicable for renamed FK columns.","Not applicable — MetricFlow uses entity graph not explicit SQL join conditions","Not applicable — Cube uses full SQL ON clause","No equivalent in ThoughtSpot; minor convenience feature"
dbt MetricFlow-Only,"dbt: entities[] with type (primary/foreign/unique/natural)","Explicit declaration of join key columns with semantic entity types — MetricFlow uses the entity graph to automatically resolve all joins between semantic models.","Entity-based join resolution means no manual join conditions; MetricFlow infers the correct join path from entity type declarations — more semantic and less error-prone than explicit SQL join conditions.","Low — internal join resolution; transparent to users","High — entity types make join logic semantically explicit and machine-discoverable; agents querying via the dbt MCP server never need to know the underlying join conditions","Not applicable — Snowflake SV uses explicit relationship_columns","Pro: Explicit FK column pairs. Con: More verbose than entity-based automatic join resolution.","Not applicable — UC MV uses explicit on: SQL conditions","Pro: Full SQL expression. Con: More verbose and error-prone than entity-based automatic resolution.","Native (entities[] with type: primary | foreign | unique | natural)","cube.joins[].relationship (implicit from join direction)","AtScale SML: relationship declarations with cardinality; LookML: join with relationship type"
dbt MetricFlow-Only,"dbt: metric type: ratio","First-class metric type defining a metric as numerator/denominator — both referencing other metrics or measures with optional filters and aliases.","Ratio metrics are the most common KPI pattern (conversion rate, margin %, etc.); defining them declaratively prevents agents from incorrectly aggregating numerator and denominator separately.","High — ratio metrics surface as first-class metrics in BI tools alongside simple metrics","High — declarative numerator/denominator prevents agents from computing ratio metrics incorrectly; without this agents may average ratios instead of dividing aggregated totals","metrics[].expr can express ratios as SQL division","Con: Ratio expressed as raw SQL; no structural declaration that this is a ratio metric; agents cannot introspect numerator/denominator semantically.","measures[].expr using MEASURE(x) / NULLIF(MEASURE(y), 0)","Pro: MEASURE() composition makes the ratio structure explicit and self-documenting. Con: Less formally typed than dbt's ratio metric type.","Native (type: ratio with numerator / denominator — dbt MetricFlow)","cube.measures[].type: number referencing two other measures","AtScale SML: calculated members; Power BI: DAX ratio measure; ThoughtSpot: safe_divide formula"
dbt MetricFlow-Only,"dbt: metric type: cumulative","First-class metric type for rolling window (trailing N periods) and grain-to-date accumulation patterns; resets at grain boundaries.","Cumulative metrics (YTD revenue, 30-day rolling average) are essential business metrics; declaring them as a type ensures agents compute them with the correct window semantics rather than raw SUM.","High — YTD/MTD/rolling metrics are among the most frequently requested by business users","High — without a cumulative metric type agents must write raw window SQL; declarative type guarantees correct window semantics at every query","metrics[].expr with OVER window function","Con: Window SQL must be written manually; no structural type declaration. Pro: Full SQL flexibility.","measures[].window[] config (cumulative range — Experimental)","Pro: Declarative cumulative config in UC MV. Pro: range: cumulative is semantically clear to agents.","Native (type: cumulative with window / grain_to_date / period_agg — dbt MetricFlow)","cube.measures[].rolling_window[] with trailing / unbounded","LookML: type: running_total measure; ThoughtSpot: cumulative_sum formula"
dbt MetricFlow-Only,"dbt: metric type: derived","First-class metric type defining a metric via arithmetic over other metrics with support for time offsets (period-over-period).","Derived metrics (revenue growth %, gross margin) and period-over-period calculations (MoM, YoY) are common executive KPIs; declaring them declaratively ensures agents compute them from governed atomic metrics.","High — period-over-period growth metrics are among the most requested executive-level metrics","High — offset_window and offset_to_grain enable period-comparison metrics that agents can query without raw LAG() SQL; declarative definition prevents incorrect period alignment","metrics[].expr with cross-table SQL (partial equivalent)","Con: No formal derived metric type or period-offset concept in SV YAML.","measures[].expr using MEASURE() composition (partial equivalent)","Con: No period-offset concept in UC MV; period-over-period requires manual SQL or a separate time-shifted measure.","Native (type: derived with input_metrics[] / offset_window / offset_to_grain — dbt MetricFlow)","Not natively supported — requires date dimension manipulation","Power BI: calculation groups for time intelligence (YTD, QTD, prior period) — more powerful for human-facing BI"
dbt MetricFlow-Only,"dbt: metric type: conversion","Tracks how often an entity that performs a base event subsequently performs a conversion event within a time window.","Conversion funnel metrics (checkout → purchase; signup → activation) are critical product and marketing KPIs; declarative conversion metrics prevent agents from computing funnels incorrectly.","High — conversion metrics are essential for product and marketing analysis; declarative definition makes them queryable without complex funnel SQL","High — conversion tracking requires session-level join logic; a declarative type ensures agents compute this correctly without writing event-sequence SQL","Not supported","Con: Conversion metrics must be expressed as raw SQL subqueries or CTEs; no declarative type.","Not supported","Con: Conversion metrics must be computed via raw SQL; no declarative type in UC MV.","Native (type: conversion with entity / calculation / base / conversion / window / constant_properties — dbt MetricFlow)","Not natively supported","No equivalent in ThoughtSpot; requires complex formula; no equivalent in Snowflake SV or Databricks MV"
dbt MetricFlow-Only,"dbt: saved_queries[] with exports","Pre-defined reusable metric queries with materialization targets (table or view) written to the warehouse on a schedule.","Enables agents to query pre-aggregated metric tables directly for performance; creates governed datasets that downstream BI tools and agents can use without re-computing metrics from raw data.","High — exported saved queries create warehouse tables that humans can discover and query in any BI tool","Medium — agents can query materialized metric tables via SQL; reduces real-time compute cost but adds latency for fresh data","Not directly supported in SV YAML","Con: Semantic views are always query-time; no pre-materialization to a separate table from the semantic layer definition.","materialization: in UC MV (Experimental)","Con: Experimental; limited control over aggregation strategy compared to dbt's export approach.","Native (saved_queries[].exports[].config.export_as: table | view — dbt MetricFlow)","cube.pre_aggregations[] with type: rollup + refresh_key","ThoughtSpot: aggregated_models; LookML: PDTs as saved query outputs"
dbt MetricFlow-Only,"dbt: measure.non_additive_dimension","Declares that a measure should not be summed across a specific time dimension; specifies window_choice (min/max) and optional window_groupings.","Prevents agents from incorrectly summing snapshot metrics (account balances, headcount, inventory levels) across time; this is one of the most common sources of silently wrong metric results.","Low — internal declaration; users see correct snapshot values without being aware of the constraint","High — arguably the most impactful correctness property for financial and operational metrics; without it agents sum snapshot values producing inflated totals","NON ADDITIVE BY clause on metrics (Snowflake DDL) or non_additive_dimensions[] in YAML","Pro: Full sort direction and null order control. Pro: Cortex Analyst natively generates correct LAST_VALUE SQL.","window[].semiadditive: first | last (Experimental v1.1)","Pro: Declarative semiadditive config; cleaner than ThoughtSpot's is_additive flag.","Native (measure.non_additive_dimension.name / window_choice / window_groupings — dbt MetricFlow)","Not natively supported","AtScale SML: semi-additive as first-class measure subtype; Power BI: LASTDATE / FIRSTDATE DAX patterns"
dbt MetricFlow-Only,"dbt: dimension.validity_params (SCD Type II)","Marks dimensions as valid_from and valid_to columns for Slowly Changing Dimension Type II support — MetricFlow correctly joins on the validity window.","Enables historically accurate reporting where dimension values change over time (e.g. customer region, product category, employee manager); without SCD support agents join on current state and produce wrong historical results.","Medium — SCD Type II is important for finance and HR reporting where historical accuracy matters","High — without SCD-aware joins agents produce point-in-time errors on historical reports; incorrect dimension snapshots cause audit and compliance failures","Not supported","Con: Snowflake SV has no SCD-aware join support; historical analysis requires pre-built SCD views.","Not supported","Con: UC MV has no SCD-aware join support.","Native (dimension.validity_params.is_start / is_end — dbt MetricFlow)","Not supported","Power BI: handles SCD via Power Query M transformations; LookML: requires custom SQL for SCD joins"
dbt MetricFlow-Only,"dbt: meta field (on all objects)","Arbitrary key-value metadata attached to any semantic layer object (semantic_model, metric, dimension, measure, entity, saved_query) — compiled into manifest.json and surfaced to API consumers.","Enables teams to attach agent-specific hints, ownership, domain, sensitivity, and any custom metadata to semantic objects without changing the schema; the most flexible governance property across any platform.","Low — meta is developer-facing; not shown directly to business users","High — meta allows teams to attach agent-specific instructions (e.g. meta.agent_intent: 'use for revenue analysis') and sensitivity flags without schema changes; no equivalent in ThoughtSpot, Snowflake SV, or Databricks MV","Not supported","Con: Snowflake SV has no arbitrary metadata passthrough. AI_SQL_GENERATION provides some equivalent at the view level only.","Not supported","Con: UC MV has no metadata passthrough field. UC tags are closest but require separate DDL commands.","Native (meta: object on semantic_model / metric / dimension / measure / entity — dbt MetricFlow)","Native (meta: object on cube / dimension / measure / view — Cube.dev)","No equivalent in ThoughtSpot or warehouse-native semantic views; unique to code-first platforms (dbt, Cube)"
dbt MetricFlow-Only,"dbt: metrics fill_nulls_with and join_to_timespine","Fills missing time periods with a specified value (e.g. 0) by joining the metric output to a dense time spine; ensures continuous time series without gaps.","Prevents agents from returning incomplete time series where periods with no activity are absent; a missing period is visually misleading in trend analysis and causes incorrect period-over-period calculations.","High — users expect continuous date axes in trend charts; gaps cause chart rendering issues","High — gap-filled time series are critical for cumulative metrics and period-over-period calculations; agents querying sparse metrics get incorrect results without time spine joins","Not supported","Con: No time spine concept in Snowflake SV. Gaps in time series must be handled by the BI tool or a pre-built calendar table join.","Not supported","Con: No fill_nulls_with equivalent in UC MV. Continuous time series requires a calendar dimension join in the metric view.","Native (join_to_timespine + fill_nulls_with on simple / ratio / derived / cumulative metrics — dbt MetricFlow)","Not natively supported","Power BI: time intelligence functions handle this; LookML: allow_fill on dimensions"
dbt MetricFlow-Only,"dbt: metric input.offset_window and offset_to_grain","Shifts an input metric backward in time (e.g. 1 month) within a derived metric definition to enable period-over-period calculations.","Declarative period-over-period metrics (MoM, YoY, WoW) that agents can query without writing raw LAG() or self-join SQL; ensures correct date alignment at the query grain.","High — MoM and YoY metrics are among the most commonly requested metrics in any business context","High — offset_window prevents agents from writing incorrect period-comparison SQL; declarative definition guarantees correct temporal alignment","Not supported","Con: Period-over-period requires raw SQL self-joins or CTEs in Snowflake SV.","Not supported","Con: No period-offset concept in UC MV; requires manual SQL or a separate time-shifted measure definition.","Native (input_metrics[].offset_window / offset_to_grain on derived metrics — dbt MetricFlow)","cube.measures[].time_shift[] — declarative period-offset configuration","Power BI: calculation groups with time intelligence; LookML: derived_column with date math"
Cube.dev-Only,"Cube: segments[]","Named reusable filter predicates stored in the data model (e.g. paid_orders: status = 'paid') — applied by name in queries without repeating the SQL.","DRY filter definitions enable consistent audience segmentation across all metrics; agents and users reference segments by name rather than writing SQL conditions — reduces filter inconsistency.","High — named segments (e.g. 'Active Customers') surface as queryable filter options in BI and AI interfaces","High — named segments allow agents to apply consistent filter conditions by name rather than generating raw SQL conditions; reduces filter hallucination risk","cube.segments[].sql (partial equivalent via WHERE clause in wrapper view)","Con: Named reusable filters are not a Snowflake SV concept; filters must be embedded in metric expr or view wrappers.","Not supported as a named concept","Con: UC MV has a single global filter: not named segmented filters.","metrics[].filter with Jinja conditions (partial equivalent per-metric)","Native (cube.segments[] — name + sql + description + public — Cube.dev)","LookML: named filters as a dimension type; ThoughtSpot: model-level filters (not named/reusable)"
Cube.dev-Only,"Cube: pre_aggregations[]","Declarative rollup materialization definitions embedded in the data model — Cube manages creation, refresh, and query routing automatically.","Transparent query acceleration for agents and humans; frequently queried metric rollups are pre-computed in the warehouse and automatically selected at query time without changing queries.","High — dramatically improves response time for common aggregations; users see sub-second results on large datasets","Low — agents benefit from faster responses but do not interact with pre_aggregation definitions directly","Not directly in SV YAML (use Snowflake dynamic tables or materialized views separately)","Con: Snowflake SV has no built-in pre-aggregation management; acceleration is external to the semantic layer.","materialization: in UC MV (Experimental — limited)","Con: UC materialization is experimental and less feature-rich than Cube's pre-aggregation system.","saved_queries[].exports[] for materialization; no in-model pre-aggregation scheduling","Native (cube.pre_aggregations[] — type / measures / dimensions / time_dimension / granularity / partition_granularity / refresh_key — Cube.dev)","LookML: PDTs (Persistent Derived Tables) — closest equivalent; ThoughtSpot: aggregated_models"
Cube.dev-Only,"Cube: rolling_window on measures","Declarative rolling window aggregation on a measure (trailing N periods / leading N periods / unbounded) with offset control.","Enables 7-day rolling average, trailing 30-day revenue, and similar window aggregations as first-class measures; agents can query rolling metrics by name without knowing the underlying OVER() SQL.","High — rolling window metrics (7-day rolling sales, trailing 3-month average) are essential for trend analysis","High — declarative rolling windows allow agents to query temporal patterns correctly without generating window SQL; reduces agent query complexity significantly","NON ADDITIVE BY / window SQL in metrics[].expr (manual)","Con: No declarative rolling window; must write OVER() SQL manually in metrics[].expr.","measures[].window[].range: trailing N unit (Experimental v1.1)","Pro: Native trailing window config in UC MV v1.1. Pro: Cleaner than raw SQL for agents to interpret.","metric type: cumulative with window parameter (closest equivalent)","Native (cube.measures[].rolling_window[].trailing / leading / offset — Cube.dev)","ThoughtSpot: moving_average / moving_sum formulas; LookML: type: rolling_window measure"
Cube.dev-Only,"Cube: access_policy[] (row-level + member-level)","Row-level and member-level security policies embedded in the data model; user attributes drive dynamic filter conditions and field visibility.","Governance at the semantic layer; agents querying through Cube automatically receive filtered views appropriate to their user context without requiring separate model versions.","Medium — users see only data and fields permitted by their role; security is transparent","High — agents operating under user identities receive correctly scoped data automatically; no separate security layer required between the agent and the semantic model","Not supported in SV YAML (Snowflake role grants and row access policies handle this)","Con: Security is external to the semantic view definition; must be managed separately.","Not supported in UC MV YAML (UC privilege system and row filters handle this)","Con: Security is at the UC catalog level not the metric view level.","Not applicable — dbt Semantic Layer access controlled by API credentials and job permissions","Native (cube.access_policy[].group / groups / member_level / row_level / filters — Cube.dev)","LookML: access_filter + required_access_grants; Power BI: RLS + OLS; ThoughtSpot: RLS via is_bypass_rls flag"
Cube.dev-Only,"Cube: hierarchies[]","Named ordered drill-down paths within a cube (e.g. Year → Quarter → Month → Day; Country → Region → City).","Enables structured exploratory drill-down; agents and BI tools can traverse defined hierarchies without knowing which columns to drill through at each level.","High — drill-down hierarchies are fundamental to human data exploration; essential for geographic and temporal navigation","Low — agents typically receive explicit dimension requests not hierarchical drill paths; hierarchy support in agent interfaces is limited","Not supported","Con: No hierarchy concept in Snowflake SV; drill paths must be defined in the BI tool.","Not supported","Con: No hierarchy concept in UC MV.","Not applicable — dbt dimensions define the grain but not explicit drill hierarchies","Native (cube.hierarchies[].name / title / levels[] — Cube.dev)","LookML: dimension_group (time hierarchies); AtScale SML: explicit hierarchy objects with level definitions; Power BI: hierarchies on tables; ThoughtSpot: no formal hierarchy definition"
Cube.dev-Only,"Cube: views[] (consumer-facing facades)","Named consumer-facing compositions of cube measures and dimensions; expose curated subsets of the cube graph with aliasing, inclusion/exclusion, and folder organization.","Audience-specific views of the semantic model allow agents to select the right scope without knowing the full cube structure; reduces the surface area an agent needs to reason over.","High — views provide curated subject-area interfaces that simplify human exploration; a 'Finance View' hides fields irrelevant to finance users","High — views reduce the schema surface area agents must reason over; a narrower more relevant view produces more accurate agent queries than querying the full cube directly","Not supported","Con: Snowflake SV has no view/facade/perspective concept; all dimensions/metrics are always exposed.","Not supported","Con: UC MV has no perspective or facade concept; all dimensions/measures are always exposed.","Not applicable — dbt semantic models can be scoped by metric definition","Native (cube.views[] with cubes[].join_path / includes / excludes / folders — Cube.dev)","LookML: explores as audience-specific facades; AtScale SML: perspectives; Power BI: perspectives"
Cube.dev-Only,"Cube: extends (inheritance)","Inherits all members (dimensions, measures, joins) from another cube or view — enables DRY reuse without duplication.","Reduces maintenance burden in large models; agents benefit from consistent definitions inherited from a base cube rather than diverging duplicated definitions.","Low — inheritance is a modeling pattern; transparent to users","Low — inherited definitions behave identically to inline definitions from an agent's perspective","Not supported","Con: No inheritance concept in Snowflake SV; logic must be duplicated across multiple views.","Not supported","Con: No inheritance concept in UC MV.","Not applicable","Native (cube.extends / view.extends — Cube.dev)","LookML: extends and refinements on views and explores — more powerful inheritance pattern"
